#п/п;Заказчик;URL;Наименование;URL;Способ_закупки;Единица_измерения;Кол-во;Цена_за_ед.;Плановая_сумма;Планируемый_срок_закупки;Статус
83756523;;https://goszakup.gov.kz/ru/registry/show_supplier/40163;Услуги туристические экскурсионные;https://goszakup.gov.kz/ru/registry/show_plan/86437278/4718062;Из одного источника путем прямого заключения договора;Одна услуга;1;315 000.00;315 000.00;Апрель;Утвержден
82127403;;https://goszakup.gov.kz/ru/registry/show_supplier/58184;Топливо дизельное;https://goszakup.gov.kz/ru/registry/show_plan/86437273/4718061;Запрос ценовых предложений;Литр (куб. дм.);42120;250.00;10 530 000.00;Январь;Утвержден
86437270;КГУ "Детско-юношеская спортивная школа села Тенге" Управления физической культуры и спорта Мангистауской области;https://goszakup.gov.kz/ru/registry/show_supplier/702417;Линолеум;https://goszakup.gov.kz/ru/registry/show_plan/86437270/4718039;Электронный магазин;Штука;177;10 000.00;1 770 000.00;Апрель;Утвержден
86437268;КГУ "Детско-юношеская спортивная школа села Тенге" Управления физической культуры и спорта Мангистауской области;https://goszakup.gov.kz/ru/registry/show_supplier/702417;Линолеум;https://goszakup.gov.kz/ru/registry/show_plan/86437268/4718039;Электронный магазин;Штука;177;10 000.00;1 770 000.00;Апрель;Утвержден
86395470;;https://goszakup.gov.kz/ru/registry/show_supplier/37455;Услуги санитарные (дезинфекция, дезинсекция, дератизация и аналогичные);https://goszakup.gov.kz/ru/registry/show_plan/86437256/4718066;Из одного источника путем прямого заключения договора;Одна услуга;1;600 000.00;600 000.00;Апрель;Проект договора
86397167;;https://goszakup.gov.kz/ru/registry/show_supplier/9146;Услуги по страхованию жизни;https://goszakup.gov.kz/ru/registry/show_plan/86437243/4718068;Из одного источника путем прямого заключения договора;Одна услуга;1;212 976.00;212 976.00;Апрель;Проект договора
86053810;;https://goszakup.gov.kz/ru/registry/show_supplier/40163;Нить;https://goszakup.gov.kz/ru/registry/show_plan/86437237/4718062;Из одного источника путем прямого заключения договора;Штука;10;1 000.00;10 000.00;Апрель;Утвержден
83756501;;https://goszakup.gov.kz/ru/registry/show_supplier/40163;Рулонная изоляция;https://goszakup.gov.kz/ru/registry/show_plan/86437219/4718062;Из одного источника путем прямого заключения договора;Штука;50;300.00;15 000.00;Апрель;Утвержден
86376466;КГУ "Специализированная школа-интернат "Дарын" Казыгуртского района" управления образования Туркестанской области;https://goszakup.gov.kz/ru/registry/show_supplier/14456;Услуги по промывке и опрессовке системы отопления;https://goszakup.gov.kz/ru/registry/show_plan/86437218/4718064;Запрос ценовых предложений;Одна услуга;1;455 000.00;455 000.00;Апрель;Опубликован
86376302;КГУ "Специализированная школа-интернат "Дарын" Казыгуртского района" управления образования Туркестанской области;https://goszakup.gov.kz/ru/registry/show_supplier/14456;Полики;https://goszakup.gov.kz/ru/registry/show_plan/86437211/4718064;Запрос ценовых предложений;Упаковка;1;6 000.00;6 000.00;Апрель;Заявка
